"","peak_id","Feature","mz","ret","int","group_id","family_id","adducts","connected_to","keep_rep","status"
"1605","1706","9227","541.2211","4.057","513.7","11","11_6_F3","2M+H; 2M+K; 2M+NH4; 2M+Na; M+2H; M+2K-H; M+ACN+2H; M+ACN+H; M+H; M+K; M+NH4; M+Na","[9142]; [9233, 9235, 9284]; [9141]; [9142]; [9142]; [9235]; [9142]; [9142]; [9142]; [9233, 9235]; [9141]; [9142]","false","filtered"
"1606","1708","9235","503.2647","4.060","428.0","11","11_6_F3","2M+ACN+H; 2M+H; M+2H; M+3H; M+ACN+H; M+H; M+K; M+Na","[9233]; [9227, 9233, 9284]; [9233]; [9233]; [9233]; [9227, 9233]; [9227]; [9233]","false","filtered"
"1602","1696","9202","453.2644","4.048","5,307.9","11","11_6_F2","2M+H; M+H; M+IsoProp+Na+H","[9195]; [9195]; [9218]","true","keep_rep"
"1603","1700","9195","470.2916","4.048","914.4","11","11_6_F2","2M+NH4; M+; M+NH4","[9202]; [9133]; [9202]","false","filtered"
"1597","1690","9175","314.1392","4.035","16,186.2","11","11_6_F1","2M+ACN+H; 2M+H; 2M+NH4; M+2H; M+2Na-H; M+3H; M+ACN+2H; M+ACN+H; M+H; M+H+Na; M+K; M+NH4; M+Na","[9176]; [9176, 9177]; [9086]; [9157, 9176]; [9200]; [9176]; [9157]; [9176]; [9157, 9176, 9177]; [9157]; [9177]; [9086]; [9176]","true","keep_rep"
"1598","1691","9177","352.0952","4.035","4,458.9","11","11_6_F1","2M+K; M+2K-H; M+K","[9175, 9176]; [9175]; [9157, 9175, 9176]","false","filtered"
"1599","1694","9341","357.1901","4.047","1,775.0","11","11_6_F1","2M+3H2O+2H; 2M+ACN+H; 2M+ACN+Na; 2M+H; 2M+K; 2M+NH4; 2M+Na; M+; M+2ACN+2H; M+2ACN+H; M+2H; M+2H+Na; M+2K-H; M+2Na; M+2Na-H; M+3ACN+2H; M+3H; M+3Na; M+ACN+2H; M+ACN+H; M+ACN+Na; M+CH3OH+H; M+DMSO+H; M+H; M+H+2Na; M+H+K; M+H+NH4; M+H+Na; M+IsoProp+H; M+IsoProp+Na+H; M+K; M+NH4; M+Na","[9029]; [9029]; [9029]; [9029]; [9029]; [9029]; [9029, 9191, 9200]; [9029]; [9029]; [9029, 9086, 9087]; [9029]; [9029]; [9029]; [9029, 9315]; [9029]; [9029]; [9029]; [9029]; [9029]; [9029]; [9029]; [9029]; [9029]; [9029]; [9029]; [9029]; [9029]; [9029]; [9029]; [9029]; [9029]; [9029]; [9029, 9191, 9200, 9315]","false","filtered"
"1600","1693","9191","373.1631","4.045","428.1","11","11_6_F1","2M+K; M+2ACN+H; M+K","[9029, 9200, 9341]; [9087]; [9029, 9200, 9315, 9341]","false","filtered"
"1601","1695","9200","352.2338","4.048","202.7","11","11_6_F1","2M+NH4; M+2ACN+H; M+H+NH4; M+NH4","[9029, 9191, 9341]; [9175]; [9315]; [9029, 9191, 9315, 9341]","false","filtered"
"1581","1685","9176","336.1232","4.030","11,693.0","11","11_5_F1","2M+ACN+Na; 2M+Na; M+2Na; M+2Na-H; M+3H; M+3Na; M+ACN+Na; M+H+Na; M+Na","[9175]; [9175, 9177]; [9157, 9175]; [9175]; [9141]; [9175]; [9175]; [9157]; [9157, 9175, 9177]","true","keep_rep"
"1582","1673","9106","650.2991","4.009","7,283.0","11","11_5_F1","2M+ACN+H; 2M+H; 2M+Na; M+2H; M+2Na; M+2Na-H; M+3H; M+ACN+H; M+ACN+Na; M+H; M+IsoProp+Na+H; M+Na","[9107]; [9107]; [8918]; [9107]; [8918]; [8918]; [9107]; [9107]; [8918]; [9107, 9114]; [9136]; [8918, 9107]","false","filtered"
"1583","1674","9029","357.1901","4.009","4,516.4","11","11_5_F1","2M+3H2O+2H; 2M+ACN+H; 2M+ACN+Na; 2M+H; 2M+K; 2M+NH4; 2M+Na; M+; M+2ACN+2H; M+2ACN+H; M+2H; M+2H+Na; M+2K-H; M+2Na; M+2Na-H; M+3ACN+2H; M+3H; M+3Na; M+ACN+2H; M+ACN+H; M+ACN+Na; M+CH3OH+H; M+DMSO+H; M+H; M+H+2Na; M+H+K; M+H+NH4; M+H+Na; M+IsoProp+H; M+IsoProp+Na+H; M+K; M+NH4; M+Na","[9341]; [9341]; [9341]; [9341]; [9341]; [9341]; [9028, 9030, 9191, 9200, 9341]; [9341]; [9341]; [9005, 9086, 9087, 9341]; [9341]; [9341]; [9341]; [9341]; [9341]; [9341]; [9341]; [9341]; [9341]; [9341]; [9341]; [9341]; [9341]; [9341]; [9341]; [9341]; [9341]; [9341]; [9341]; [9341]; [9341]; [9341]; [9028, 9030, 9191, 9200, 9341]","false","filtered"
