"","Feature","mz","rt","intensity","iso_group","status","shift"
"2895","2895","612.7964","16.050","33,193,581.0","347","keep_rep","C13*1 (z=2); C13*1 (z=1)"
"2898","2898","613.2981","16.050","1,319,532.6","347","filtered","C13*1 (z=2); C13*(1+0.5)"
"2899","2899","613.7996","16.050","2,474,125.2","347","filtered","C13*1 (z=1)"
"2903","2903","614.8008","16.051","946,084.4","347","filtered","none"
"2882","2882","606.0744","9.258","31,115,093.6","346","keep_rep","C13*1 (z=1)"
"2883","2883","607.0777","9.258","6,162,257.0","346","filtered","C13*1 (z=1)"
"2884","2884","608.0794","9.258","1,626,984.5","346","filtered","C13*1 (z=1)"
"2886","2886","609.0829","9.259","256,182.1","346","filtered","none"
"2878","2878","603.9657","10.196","752,003.0","345","keep_rep","C13*1 (z=1)"
"2881","2881","604.9689","10.196","72,960.0","345","filtered","none"
"2872","2872","601.2204","9.212","350,066.7","344","keep_rep","C13*1 (z=1)"
"2874","2874","602.2239","9.211","80,641.9","344","filtered","none"
"2869","2869","599.3204","1.505","1,850,246.4","343","keep_rep","C13*1 (z=1)"
"2870","2870","600.3238","1.505","536,420.1","343","filtered","C13*1 (z=1)"
"2873","2873","601.3263","1.505","76,262.5","343","filtered","none"
"2868","2868","599.3204","2.743","838,861.1","342","keep_rep","C13*1 (z=1)"
"2871","2871","600.3238","2.743","248,021.1","342","filtered","none"
"2864","2864","598.2835","8.499","1,268,581.0","341","keep_rep","C13*1 (z=1)"
"2867","2867","599.2867","8.499","353,888.9","341","filtered","none"
"2861","2861","597.3049","1.505","434,110.2","340","keep_rep","C13*1 (z=1)"
"2865","2865","598.3078","1.505","109,073.1","340","filtered","none"
"2850","2850","584.2680","8.499","1,743,658.4","339","keep_rep","C13*1 (z=1)"
"2853","2853","585.2709","8.499","477,149.6","339","filtered","none"
"2841","2841","579.8104","16.050","8,918,743.0","338","keep_rep","C13*1 (z=2); C13*1 (z=1)"
"2843","2843","580.3120","16.050","1,204,490.6","338","filtered","C13*1 (z=2)"
"2846","2846","580.8125","16.050","711,422.0","338","filtered","none"
"2840","2840","579.0275","11.639","444,208.9","337","keep_rep","C13*1 (z=1)"
"2842","2842","580.0308","11.639","70,505.9","337","filtered","none"
"2831","2831","572.0803","7.701","2,177,153.7","336","keep_rep","C13*1 (z=1)"
"2832","2832","573.0836","7.701","400,981.2","336","filtered","none"
"2825","2825","570.3779","1.587","519,411.7","335","keep_rep","C13*1 (z=1)"
"2829","2829","571.3807","1.587","141,179.3","335","filtered","none"
"2826","2826","570.3779","2.721","180,656.4","334","keep_rep","C13*1 (z=1)"
"2830","2830","571.3812","2.721","45,912.0","334","filtered","none"
"2816","2816","565.0478","10.007","15,246,227.2","333","keep_rep","C13*1 (z=1)"
"2817","2817","566.0512","10.007","2,613,111.7","333","filtered","C13*1 (z=1)"
"2818","2818","567.0527","10.007","701,643.4","333","filtered","none"
"2808","2808","559.8141","16.050","8,878,973.1","332","keep_rep","C13*1 (z=2); C13*1 (z=1)"
"2810","2810","560.3156","16.050","1,162,638.8","332","filtered","C13*1 (z=2)"
"2811","2811","560.8163","16.050","667,589.0","332","filtered","none"
"2798","2798","556.3258","2.721","1,833,659.1","331","keep_rep","C13*1 (z=1)"
"2802","2802","557.3291","2.721","479,971.6","331","filtered","none"
"2792","2792","554.3098","1.587","276,530.2","330","keep_rep","C13*1 (z=1)"
"2797","2797","555.3131","1.587","63,022.6","330","filtered","none"
"2784","2784","546.8250","16.051","18,175,691.8","329","keep_rep","C13*1 (z=1)"
"2786","2786","547.8285","16.051","1,089,067.1","329","filtered","C13*1 (z=1)"
"2787","2787","548.8296","16.051","516,050.8","329","filtered","none"
"2779","2779","543.3502","1.608","345,833.0","328","keep_rep","C13*1 (z=1)"
"2782","2782","544.3530","1.608","44,190.4","328","filtered","none"
"2774","2774","540.0543","8.386","2,724,997.3","327","keep_rep","C13*1 (z=1)"
"2776","2776","541.0577","8.386","445,391.8","327","filtered","none"
"2765","2765","536.5053","1.414","854,381.3","326","keep_rep","C13*1 (z=1)"
"2769","2769","537.5085","1.405","309,325.8","326","filtered","none"
"2761","2761","535.2701","3.879","1,084,288.5","325","keep_rep","C13*1 (z=1)"
"2764","2764","536.2733","3.879","307,638.4","325","filtered","none"
"2760","2760","535.0376","9.936","493,432.0","324","keep_rep","C13*1 (z=1)"
