"feature_name","mz","rt","metabolite_annotation","adducts_anno","neutral_loss_annotation","ISF_anno","iso_anno","group","cor_group","check_group","user_anno"
"FT12024",639.3161,319.6,"","",NA,"","",NA,"corgroup125","",""
"FT7752",640.2637,208.4,"","",NA,"","",NA,"corgroup97","",""
"FT6740",641.2241,184.6,"","",NA,"","",NA,"corgroup109","",""
"FT6491",643.1511,177.6,"","","FT6490-SO3","","","group29",NA,"",""
"FT11526",643.3471,304.3,"","",NA,"","",NA,"corgroup271","",""
"FT10116",643.3473,265.4,"","",NA,"","",NA,"corgroup209","",""
"FT11159",643.3476,292.7,"","",NA,"","",NA,"corgroup131","",""
"FT9702",643.3479,257.9,"","",NA,"","",NA,"corgroup234","",""
"FT10381",643.3483,273.6,"","",NA,"","",NA,"corgroup70","",""
"FT9054",644.2757,239,"","",NA,"","",NA,"corgroup95","",""
"FT10475",644.2833,278.9,"","",NA,"","",NA,"corgroup130","",""
"FT6693",646.2688,186.7,"","",NA,"","",NA,"corgroup197","",""
"FT7282",649.3251,197.8,"","",NA,"","",NA,"corgroup212","",""
"FT9106",650.2991,240.5,"","",NA,"","",NA,"corgroup173","",""
"FT9676",650.3562,257,"","",NA,"","",NA,"corgroup189","",""
"FT15688",651.2226,421.4,"","",NA,"","",NA,NA,"",""
"FT10435",651.3335,275.3,"","",NA,"","",NA,"corgroup297","",""
"FT8248",652.2551,219,"","",NA,"","",NA,NA,"",""
"FT10946",654.3872,290.8,"","",NA,"","",NA,"corgroup131","",""
"FT8823",654.3875,233.4,"","",NA,"","",NA,"corgroup78","",""
"FT9167",654.3875,242,"","",NA,"","",NA,"corgroup151","",""
"FT8654",659.3412,229.1,"","",NA,"","",NA,"corgroup160","",""
"FT8923",664.3928,236.2,"","",NA,"","",NA,"corgroup65","",""
"FT8427",668.3665,224.2,"","","FT8429-SO3","","","group30","corgroup157","+",""
"FT8918",669.349,239,"","",NA,"","",NA,"corgroup173","",""
"FT9325",669.4104,246.2,"","",NA,"","",NA,"corgroup80","",""
"FT8363",670.3821,223.5,"","",NA,"","",NA,"corgroup157","",""
"FT9107",672.2834,240,"","",NA,"","",NA,"corgroup94","",""
"FT16876",672.419,451.3,"","",NA,"","",NA,NA,"",""
"FT11056",673.2666,291.5,"","",NA,"","",NA,"corgroup133","",""
"FT10931",675.3156,290.2,"","",NA,"","",NA,NA,"",""
"FT9306",678.3719,246.2,"","",NA,"","",NA,"corgroup145","",""
"FT7391",679.3574,200.7,"","",NA,"","",NA,NA,"",""
"FT9883",682.3823,263.3,"","",NA,"","",NA,"corgroup47","",""
"FT7032",682.4033,191.8,"","",NA,"","",NA,"corgroup302","",""
"FT0590",682.8005,27.9,"","",NA,"","",NA,"corgroup134","",""
"FT7280",684.361,197.6,"","",NA,"","",NA,"corgroup172","",""
"FT9315",686.4334,245.7,"","",NA,"","",NA,"corgroup273","",""
"FT9856",687.3365,262.9,"","",NA,"","",NA,"corgroup47","",""
"FT9114",694.2705,238.2,"","",NA,"","",NA,"corgroup45","",""
"FT7867",694.3671,207.3,"","",NA,"","",NA,"corgroup114","",""
"FT15072",694.4032,404.7,"","",NA,"","",NA,NA,"",""
"FT14676",694.4046,393.9,"","",NA,"","",NA,"corgroup84","",""
"FT7393",696.3832,199.4,"","",NA,"","",NA,"corgroup57","",""
"FT16126",696.4189,432.2,"","",NA,"","",NA,"corgroup280","",""
"FT11339",698.1837,299,"","",NA,"","",NA,NA,"",""
"FT14677",699.3586,394.8,"","",NA,"","",NA,NA,"",""
"FT5642",700.2839,154.8,"","",NA,"","",NA,"corgroup66","",""
