mz	rtime	[EmpCpd]interim_id            	[EmpCpd]ion_relation	neutral_formula	neutral_formula_mass            	name_1st_guess	matched_DB_shorts	matched_DB_records	user_input
512.78519	0.46786374	kp31_509.7741	13C/12C*2,M+H+	None	509.77405978324066				[]
632.7846487	0.469635	kp32_629.7749	13C/12C*2,M+H+	None	629.7748978332299				[]
630.7864099	0.47357464	kp32_629.7749	M0,M+H+	None	629.7748978332299				[]
646.7603186	0.47357464	kp33_645.7487	M0,M+H+	None	645.74874333323				[]
648.758431	0.47357464	kp33_645.7487	13C/12C*2,M+H+	None	645.74874333323				[]
716.7441201	0.47357464	kp34_713.737	13C/12C*2,M+H+	None	713.7369753998967				[]
714.7471023	0.47357464	kp34_713.737	M0,M+H+	None	713.7369753998967				[]
724.7817932	0.48294216	kp34_713.737	13C/12C*10,M+H+	None	713.7369753998967				[]
736.8112135	0.4769773	kp35_733.8034	13C/12C*2,M+H+	None	733.8033631332299				[]
734.8167757	0.4756864	kp35_733.8034	M0,M+H+	None	733.8033631332299				[]
182.9629673	0.38836986	kp36_173.93	13C/12C*8,M+H+	None	173.93001313323				[]
174.9384519	0.47380993	kp36_173.93	M0,M+H+	None	173.93001313323				[]
342.8629707	0.47674012	kp37_335.8345	13C/12C*6,M+H+	None	335.83449928323				[]
336.8407108	0.47999245	kp37_335.8345	M0,M+H+	None	335.83449928323				[]
105.1109614	0.5181578	kp38_103.1004	13C/12C,M+H+	None	103.10037788323001				[]
104.1077023	0.50064415	kp38_103.1004	M0,M+H+	None	103.10037788323001				[]
425.0864191	0.55166984	kp39_413.0404	13C/12C*11,M+H+	None	413.04041388323				[]
414.0458666	0.5478156	kp39_413.0404	M0,M+H+	None	413.04041388323				[]
362.1562061	0.56339186	kp40_359.1429	13C/12C*2,M+H+	None	359.14288083323				[]
360.1508185	0.55230343	kp40_359.1429	M0,M+H+	None	359.14288083323				[]
460.2030158	0.57897615	kp41_416.1553	13C/12C*2,ACN	None	416.15530613323				[]
417.1609491	0.53040737	kp41_416.1553	M0,M+H+	None	416.15530613323				[]
439.1428071	0.53040737	kp41_416.1553	M0,Na/H	None	416.15530613323				[]
455.1165665	0.5284796	kp41_416.1553	M0,K/H	None	416.15530613323				[]
458.1872645	0.55745107	kp41_416.1553	M0,ACN	None	416.15530613323				[]
104.071372	0.5551544	kp42_100.0549	13C/12C*3,M+H+	None	100.05493930011268				[]
123.0438604	0.5829266	kp42_100.0549	M0,Na/H	None	100.05493930011268				[]
126.0555449	0.80621636	kp42_100.0549	13C/12C*3,Na/H	None	100.05493930011268				[]
426.1611625	0.8054936	kp43_425.1536	M0,M+H+	None	425.1535528998967				[]
434.1873011	0.5381795	kp43_425.1536	13C/12C*8,M+H+	None	425.1535528998967				[]
448.1428645	0.8115074	kp43_425.1536	M0,Na/H	None	425.1535528998967				[]
