id_number,mz,rtime,Orbi_P_E2_EXBLANKA.mzML,Orbi_P_E2_EXBLANKB.mzML,Orbi_P_E2_EXBLANKC.mzML,Orbi_P_E2_WS03A.mzML,Orbi_P_E2_WS03B.mzML,Orbi_P_E2_WS03C.mzML,Orbi_P_E2_Wasteblank4.mzML,Orbi_P_E2_Wasteblank5.mzML,Orbi_P_E2_Wasteblank6.mzML
922,290.0652442,0.52462536,0,0,0,4419.858,4275.4688,4010.733,0,0,0
941,293.0835951,0.52462536,0,0,0,7901.283,9097.973,8001.687,0,0,0
918,309.0590509,0.52462536,0,0,0,3234.8628,3731.1624,3112.4863,0,0,0
947,333.0692974,0.52462536,0,0,0,5606.007,6787.438,6188.0083,0,0,0
930,151.0472074,0.5283018,0,35.270645,0,60815.176,64899.35,52782.023,0,0,0
842,165.9849755,0.52845156,111.856,75.973495,43.578125,7276.3115,7827.1475,6407.2705,48.85269,77.64908,113.91235
969,455.1165665,0.5284796,0,0,0,55836.414,66370.39,65053.84,0,0,0
839,208.9719389,0.52908534,0,0,0,10410.607,11487.209,10902.157,39.00575,42.4507,0
691,205.0688074,0.52970135,857.0414,662.49414,1273.5306,112496.6,83628.9,75630.63,770.4149,22884.58,628.5086
995,233.0633913,0.53040737,0,0,0,157338.08,102006.8,151670.25,0,0,0
996,249.0367856,0.53040737,0,0,0,28016.904,28459.045,32708.361,0,0,0
997,263.073984,0.53040737,0,0,0,54283.145,59743.48,53808.637,0,0,0
999,304.1004973,0.53040737,0,0,0,8563.098,8647.5205,8484.719,0,0,0
1000,331.1115118,0.53040737,0,0,0,34788.08,33375.344,27829.926,0,0,0
1001,347.0854739,0.53040737,0,0,0,12339.973,12408.806,12078.671,0,0,0
1002,417.1609491,0.53040737,0,0,0,12787.101,12253.206,14352.6045,0,0,0
1004,439.1428071,0.53040737,0,0,0,123886.48,134564.52,120922.06,0,0,0
965,258.1106665,0.53177905,843.10266,237.8235,1095.539,931797.94,1007987.56,997458.8,144.31342,317.20923,215.01668
1017,543.1346522,0.53233504,0,0,0,8915.048,8191.46,8564.329,0,0,0
975,337.11086,0.53237057,0,0,0,37106.508,30191.71,28965.402,0,0,0
976,563.2307144,0.53237057,0,0,0,3050.2407,6082.9727,4587.5283,0,0,0
1048,527.1595899,0.53400934,33.926857,36.533913,34.26609,44927.883,46501.28,39862.797,0,0,0
968,132.0554202,0.534208,0,28.990826,0,5260.039,5349.324,6847.991,0,0,0
1090,293.0635919,0.53625244,0,0,0,84436.22,101394.93,107089.91,0,0,0
1024,147.0767955,0.5369775,151.56271,60.709244,443.82895,2769605.8,2836593.2,2585935.8,106.0584,266.28308,126.9948
1075,275.135584,0.53815246,0,0,0,7704.2764,1176.5605,2563.517,0,0,0
875,155.0442372,0.5382028,30.658516,0,40.612854,236393.3,219906.11,196905.36,0,38.129734,32.407986
1127,434.1873011,0.5381795,0,0,0,50056.785,56600.246,52610.082,0,0,0
1158,277.0900034,0.5401073,0,0,0,171726.67,179280.83,181588.64,0,0,0
1159,309.1295039,0.5401073,0,0,0,416809.88,424810,409413.7,0,0,0
1445,172.0961557,0.54094344,428.62375,1254.3955,345.3181,8966.875,9941.708,9423.185,1228.3672,1084.0875,478.5151
1175,282.1187762,0.54203445,0,0,0,106208.22,114640.516,108034.414,0,0,0
925,171.0641268,0.54302037,89.87544,224.98996,180.68433,2573.5225,2297.693,1621.3701,53.2041,163.6407,66.98659
954,198.0858079,0.5434491,19.079391,33.526222,29.37579,9415.565,12022.185,9996.014,29.999645,39.78795,35.127556
1164,159.0767813,0.5437938,433.05887,161.2096,421.09906,16332.609,21972.754,11639.515,348.30862,636.4955,235.54243
1106,120.0660553,0.5438544,1342.704,432.3142,1783.5826,329287.2,349096.6,318192.1,765.5532,1594.5078,1546.4343
1039,183.0748426,0.5438592,1450.7532,0,28.315903,5725.0586,5992.6416,5112.7534,0,0,0
1189,475.1776048,0.54396147,0,0,0,186855.28,209285.89,190405.14,0,0,0
1259,739.162225,0.54436344,0,0,0,11313.045,13949.671,15189.873,37.11746,0,0
1200,307.1015945,0.54535353,31.944384,0,0,155763.08,165274.08,156504.19,0,0,0
1167,176.1034676,0.5458595,99.99693,165.47066,375.4319,20962.84,20298.053,21288.84,123.25273,589.319,247.8991
1285,145.0504858,0.5459968,424.81555,302.98703,842.6126,593088.4,601196.94,583331.7,238.90817,88.835335,142.29945
1254,325.113712,0.54603124,652.7366,543.43536,1013.9974,883554.8,922049.2,885387.9,296.75995,79.43854,285.5109
966,170.0433403,0.5462454,93.3744,42.446884,83.64916,7724.5576,7548.175,5934.767,76.27611,48.93415,36.800995
1293,117.0694497,0.54638517,97.25598,69.036606,130.81781,8686.268,6139.129,6698.501,124.10105,85.443344,58.10444
844,193.0013948,0.5467521,67.01158,138.93272,138.53159,53461.566,56371.09,49671.34,65.1976,88.13193,66.51188
1179,522.2040956,0.5472871,184.39136,0,66.59633,72694.7,86166.984,80948.78,0,0,0
1089,266.1239559,0.5474986,0,0,0,211046.06,225462.95,219877.16,0,46.83696,0
956,277.1038385,0.5476171,0,0,30.491505,16944.562,18905.305,18625.46,0,0,0
1223,285.1185731,0.5478156,0,0,0,8392.737,10441.707,10525.413,0,0,0
1225,414.0458666,0.5478156,0,0,0,10640.569,11759.744,11798.027,0,0,0
1269,289.091987,0.5486832,41.67765,30.79501,36.507202,222201.89,245247.3,234486.03,0,0,0
825,143.0819603,0.5491338,1050.9443,336.24725,666.5933,10572.758,8108.6733,11111.887,189.53975,829.0231,521.71747
1238,255.1079063,0.54974276,0,0,0,44518.094,49476.47,46131.246,0,0,0
1239,272.1343155,0.54974276,0,0,0,41129.562,46113.164,42854.047,0,0,0
1211,302.1456346,0.5497427,0,0,0,28805.66,30333.383,15408.82,0,0,0
1221,139.0574944,0.5509528,87.6062,208.13156,156.15424,410619.28,412392.56,392565.3,126.04351,150.45935,63.57099
1300,425.0864191,0.55166984,0,0,0,3406.3599,3967.202,5529.183,0,0,0
1213,198.0977077,0.5517218,661.54865,640.03973,1003.6848,329680.03,307596.78,283609.38,721.03455,341.42697,274.51477
1174,166.0522527,0.55232143,36.35795,33.462242,86.82054,40789.723,39089.438,37741.703,49.77933,0,64.74112
1261,360.1508185,0.55230343,5284.485,5167.9736,7055.586,6243336,6578810.5,6352820,4663.8647,5061.6685,3054.0725
932,167.0210898,0.55311275,54.516678,239.45474,43.710724,6282.8677,7110.3477,6917.748,389.97614,288.48077,209.55261
906,133.0611844,0.5534413,111.003174,47.671036,159.3612,842016.94,880220.75,809966.06,0,58.28691,84.01631
1741,271.0812237,0.5535969,0,0,0,22146.992,23163.387,23356.238,0,0,0
1270,327.1176701,0.5535969,0,0,0,22715.77,20890.361,22637.06,0,0,0
1272,342.1396996,0.5535969,0,0,0,53961.44,57046.074,52790.402,0,0,0
1280,702.2676934,0.5535969,0,0,0,15699.907,18661.047,19073.396,0,0,0
1265,142.12313,0.55472755,44.170677,41.792553,130.85033,60407.26,72684.31,68603.61,129.08652,62.08969,38.590485
1258,104.071372,0.5551544,1134.0496,1040.1165,2296.6404,257533.33,263764.47,232138.84,1822.6284,1820.3096,482.48285
1334,272.087205,0.55552477,0,0,0,2364.2324,4626.671,11399.591,0,0,0
1252,345.1292765,0.5555247,0,0,0,6818.241,9017.12,7525.9937,0,0,0
931,152.0351261,0.55669314,691.4255,218.25638,403.42834,33600.56,34777.895,28338.465,768.5993,756.6345,486.9864
955,274.0912684,0.55669975,186.02524,231.78247,118.64017,6689.6763,7013.492,6372.0117,143.67699,129.94351,68.001114
1345,175.1091695,0.5572,344.03152,0,30.888197,38593.527,36549.176,35736.926,37.565292,52.310047,34.927856
1182,148.0607585,0.5572169,1911.619,480.82703,2110.7996,311976.53,345849.78,298155.84,454.34644,621.4932,436.16876
1310,404.1570264,0.55745107,0,0,0,28796.12,26272.762,26011.602,0,0,0
1311,458.1872645,0.55745107,0,0,0,191035.34,194641.98,185279.55,0,0,0
1257,127.0394726,0.5582969,132.91418,167.6788,624.1301,459246.9,466558.5,447866.34,215.5619,267.77814,177.63799
1324,409.1127531,0.5593789,0,0,0,28997.457,27501.766,23728.045,0,0,0
998,295.1171688,0.55954367,179.49574,52.148514,0,91047.56,95847.3,97143.14,56.92417,0,63.651398
1432,237.0343676,0.5596157,0,0,0,7035.212,1804.2079,1868.0028,0,0,0
934,185.0319611,0.5596327,0,0,38.344025,197405.33,201605.55,204011.44,43.473938,13.192415,0
1236,210.0976554,0.5598839,0,0,45.62876,33990.742,32537.65,31715.77,32.3245,0,0
1248,162.076486,0.5608644,2354.8064,2772.332,1591.2748,137925.55,141780.31,127839.42,2238.6167,264.52954,1397.9333
1224,138.055335,0.5612984,3408.83,4626.167,4293.038,5408610.5,5537192.5,5330411.5,641.4518,847.11633,286.69235
1264,116.0712063,0.56172156,10601.09,17295.982,12332.646,2822176,2852950.5,2581267,10897.847,19404.725,14327.758
1287,180.0871727,0.5617852,1555.6765,203.43034,765.56195,396929.8,392242.47,354864.5,204.30807,127.000595,229.28235
1338,336.0961178,0.5632345,0,0,0,111785.016,118527.59,113900.43,0,0,0
1339,443.0492109,0.56323373,0,0,0,15730.75,18684.7,21066.893,0,0,0
1340,193.0709413,0.56327605,0,0,0,28217.922,25388.152,24154.217,0,0,0
1276,362.1562061,0.56339186,57.249096,0,30.72805,188777.69,201924.06,194593.14,29.149586,0,0
1251,707.2249965,0.56492543,0,0,34.516357,133229.98,146851.97,130743.69,0,0,0
1260,163.0605374,0.56526554,149.38858,136.76886,455.01868,314615.28,326771.5,312920.25,83.765656,49.202965,100.362785
1047,150.0769676,0.56604654,2289.791,2365.9685,2778.9055,62359.97,70091.89,67792.586,3359.599,3119.871,1602.6974
1331,245.1500085,0.56779873,0,0,0,8953.217,8571.583,8052.2944,0,44.5843,0
1325,427.0775348,0.56795657,32.68639,37.93606,93.75093,95106.36,96320.87,101521.83,31.58863,47.73438,35.055843
1003,149.0815258,0.5692886,33.83708,102.218285,0,12810.011,10323.591,14092.749,0,54.058502,36.209194
1355,130.0503611,0.56947875,4649.3657,4558.503,5377.1143,1738838,1834487.5,1664224,5003.281,5244.2427,5164.664
1273,343.1243245,0.5703882,108.622925,33.168304,155.84274,361239.5,373597.56,372842,21.825893,44.86576,29.313862
1357,217.1297535,0.57098514,0,0,0,201197.58,198760.78,204308.84,0,0,0
1359,278.1236622,0.57098514,0,0,0,104187.805,107707.67,104089.695,0,0,0
1651,263.0741489,0.5770831,0,0,0,14367.017,12348.4795,54281.26,0,0,0
1388,215.052806,0.57897615,0,0,0,62458.3,57453.035,51756.824,0,0,0
1391,460.2030158,0.57897615,0,0,0,175194.34,167366.6,160353.4,0,0,0
1419,218.0097725,0.5807058,0,0,44.29011,2231.961,2492.9194,2749.2441,0,18.54808,38.0022
1571,137.0599754,0.58085924,154.9554,304.01694,240.21939,5897.323,5474.6562,3661.5881,196.49088,425.46594,373.66315
1470,275.1236342,0.58095384,0,0,0,1417.3945,2607.0735,2861.3013,0,0,0
1471,286.1504177,0.58095384,0,0,0,5236.0215,11555.391,9897.233,0,0,0
1486,402.1613096,0.58095384,0,0,0,5704.2734,5779.798,5814.726,0,0,0
1163,280.1397124,0.5822217,51.279675,0,0,291622.1,293063.62,294043.16,0,0,0
1373,299.1342255,0.582881,0,0,0,2681.6423,5238.4224,5839.751,0,0,0
1442,123.0438604,0.5829266,517.9048,494.18628,227.04526,4777.393,4185.9785,4116.7144,392.8078,324.97327,406.82547
1452,219.097812,0.58292955,0,0,0,47811.523,51715.945,49214.12,0,0,0
