"Feature","mz","rt","Orbi_P_E2_EXBLANKA","Orbi_P_E2_EXBLANKB","Orbi_P_E2_EXBLANKC","Orbi_P_E2_Wasteblank4","Orbi_P_E2_Wasteblank5","Orbi_P_E2_Wasteblank6","Orbi_P_E2_WS03A","Orbi_P_E2_WS03B","Orbi_P_E2_WS03C"
"2501",221.09242,0.888,0,0,0,0,0,0,927703,1019431,802058
"2502",221.09245,1.063,0,0,0,0,0,1794,826464,809012,751300
"2503",221.11786,7.192,122646,125141,127777,112652,130336,122594,135925,139060,136086
"2504",221.15393,5.902,155118,137932,43027,134413,124464,27924,344346,293317,305253
"2505",221.15401,4.091,54750,19019,34461,13064,55880,45160,120212,2052625,76057
"2506",221.15413,4.294,37178,26909,58184,17970,23312,10732,41268,262560,54105
"2507",221.15416,7.584,963888,992350,1032124,958530,974306,959514,1015258,1061768,1048465
"2508",221.15443,8.318,319338,266781,261484,247011,287560,276317,326368,323915,277789
"2509",221.15451,4.979,306259,34448,65024,35770,20757,14846,64001,46586,34595
"2510",221.93097,0.416,169573,26508,10835,13316,13189,158936,518514,656403,674372
"2511",222.04398,1.378,0,0,0,0,0,0,110223,111161,102893
"2512",222.06438,11.64,93587,16148,112218,100807,118019,66151,146864,143031,9058
"2513",222.07442,1.66,0,0,0,0,0,0,77330,76020,68604
"2514",222.08968,6.653,179273,0,2280,0,0,0,0,0,0
"2515",222.08983,7.639,424620,32402,9102,0,0,1430,14389,3039,8057
"2516",222.0899,3.386,263235,13209,4537,0,1356,0,1255,1174,0
"2517",222.0901,6.175,109503,1528,0,0,0,0,0,0,1783
"2518",222.10301,11.803,187026,116527,133673,104892,97910,124334,416042,532043,321006
"2519",222.11099,3.158,1031015,303251,264753,180180,186058,196803,410636,141775,218572
"2520",222.11145,2.67,679251,203495,176825,295756,119877,227717,272809,142023,268198
"2521",222.11259,0.785,576987,544128,569662,579282,571048,612859,525139,557926,630012
"2522",222.11276,2.526,615070,179788,259682,160140,183021,203914,278891,106929,332663
"2523",222.11284,4.339,234423,154183,135784,359357,190706,220317,83519,610957,295514
"2524",222.11288,1.744,398050,137505,230556,143422,142677,201075,502137,355098,473621
"2525",222.11317,0.583,392547,552920,418417,417925,334702,332725,233254,272531,300785
"2526",222.14708,8.643,256757,70467,63900,10678,8253,7619,35337,41286,36232
"2527",222.14709,9.716,2101111,404080,360793,9648,10375,15845,79775,107617,93739
"2528",222.14716,9.598,1298336,346172,305455,4087,7807,9154,99208,128824,91810
"2529",222.14716,10.487,305848,28853,41309,4835,2086,3515,13894,27431,14073
"2530",222.14723,4.382,9078779,1736264,2036578,271541,320207,308654,480817,207465,243143
"2531",222.14726,9.084,321706,59234,52772,8474,10733,13694,27987,30997,19810
"2532",222.14728,3.663,884354,83722,72423,9632,1063,2103,35358,22598,9972
"2533",222.14925,5.955,201543,17124,4948,4319,16844,6584,50490,53150,46475
"2534",222.96021,0.592,112929,117546,147138,163031,199155,165580,39155,34527,30333
"2535",222.9604,0.735,186010,169299,436995,202913,258918,363835,82490,90524,170309
"2536",222.98816,0.512,0,0,0,0,0,0,536781,666560,641042
"2537",223.06354,9.332,60876,62030,54848,62714,56534,69235,79472,73025,76753
"2538",223.06372,8.328,69677,66777,53449,60364,60556,58188,77998,79773,73232
"2539",223.06409,7.167,24413,48864,41961,45969,44838,51900,67819,58909,57176
"2540",223.06425,2.142,998638,1469872,1127610,0,0,0,0,0,1628
"2541",223.06459,5.62,25969,26305,30248,25746,31002,24889,26158,25368,33765
"2542",223.07367,3.842,42281,53528,41207,37316,36744,44713,96261,115158,82551
