Compound,mz,kmd,rt,Orbi_P_E2_EXBLANKA,Orbi_P_E2_EXBLANKB,Orbi_P_E2_EXBLANKC,Orbi_P_E2_WS03A,Orbi_P_E2_WS03B,Orbi_P_E2_WS03C,Orbi_P_E2_Wasteblank4,Orbi_P_E2_Wasteblank5,Orbi_P_E2_Wasteblank6,cor
11776,289.2376866,0.23768660000001773,5.206431,0,0,0,2593.1685,2389.4624,2507.2915,0,0,0,TRUE
11785,509.2531425,0.25314250000002403,5.2105064,0,0,0,7755.4976,8225.651,6965.8975,0,0,0,TRUE
11786,549.2164589,0.21645890000002055,5.2105103,0,0,0,6129.379,6747.5103,6381.252,0,0,0,TRUE
11809,584.254304,0.2543040000000474,5.216577,0,0,0,9544.335,10712.149,10647.575,0,0,0,TRUE
11814,491.2410322,0.24103220000000647,5.218613,0,0,0,8415.528,9949.071,9058.926,0,0,0,TRUE
11821,486.2858234,0.2858234000000266,5.222693,0,0,0,4199.8833,5272.661,4567.503,0,0,0,TRUE
11842,611.2541574,0.2541574000000537,5.2471275,0,0,0,22689.053,25544.44,22153.238,0,0,0,TRUE
11849,628.2807547,0.2807546999999886,5.251239,0,0,0,25877.078,29765.941,27132.92,0,0,0,TRUE
11853,435.2536294,0.25362940000002254,5.255357,0,0,0,119620.34,128491.84,111477.805,0,0,0,TRUE
11867,417.2429932,0.2429932000000008,5.259417,0,0,0,4710.5703,5389.682,4633.6836,0,0,0,TRUE
11869,488.2279108,0.22791080000001784,5.2581744,64.21532,208.16046,154.05138,744402.953,818162.8046,697761.8627,181.51776,157.1909,241.80833,TRUE
11887,299.1635568,0.16355679999998074,5.279938,421.8113,460.8585,578.5573,13389.099,13763.264,11675.371,265.8349,196.97221,416.5614,TRUE
1189,475.1776048,0.17760479999998324,0.54396147,0,0,0,186855.28,209285.89,190405.14,0,0,0,TRUE
11891,493.1818746,0.18187460000001465,5.262061,0,0,0,879173.9917,920298.8150000001,864423.8505,0,0,0,TRUE
11901,979.5007747,0.5007746999999654,5.2620616,0,0,0,14064.419,16049.04,12300.891,0,0,0,TRUE
11909,958.567876,0.5678759999999556,5.264087,0,0,0,4882.187,5596.7344,3650.3733,0,0,0,TRUE
11912,531.3070546,0.30705460000001494,5.264708,0,0,0,42239.363,46224.55,38215.29,0,0,0,TRUE
11945,469.259468,0.2594680000000267,5.287588,0,0,0,7998.653,12061.143,10496.219,0,0,0,TRUE
11951,486.2857882,0.28578820000001315,5.2896037,0,0,0,3654.9436,2996.9355,2525.1138,0,0,0,TRUE
11985,525.2257211,0.22572109999998702,5.311652,0,0,0,4064.7168,4665.6733,4328.4385,0,0,0,TRUE
11995,242.1155756,0.11557559999999967,5.3177133,0,0,0,1113.8992,993.19794,965.23535,0,0,0,TRUE
11998,505.2633444,0.26334439999999404,5.3197446,0,0,0,3078.6506,3268.8306,3361.4958,0,0,0,TRUE
12006,522.2893487,0.289348700000005,5.321764,0,0,0,1889.2323,2057.548,2090.1526,0,0,0,TRUE
12007,527.2456677,0.2456677000000127,5.3217697,0,0,0,5768.2007,5666.068,6079.994,0,0,0,TRUE
12012,575.2304457,0.2304457000000184,5.323789,0,0,0,23417.1653,25170.0202,23254.607,0,0,0,TRUE
12018,436.285697,0.2856970000000274,5.3258023,0,0,0,1635.6921,1618.0543,1451.2374,0,0,0,TRUE
12020,591.2040728,0.20407279999994898,5.325826,0,0,0,3766.942,4154.996,4008.3762,0,0,0,TRUE
12024,639.3161083,0.31610829999999623,5.325838,0,0,0,5133.371,5850.573,4997.2407,0,0,0,TRUE
12029,534.2535749,0.2535748999999896,5.327851,0,0,0,11675.993,13377.258,12529.989,0,0,0,TRUE
12034,655.2910735,0.2910735000000386,5.327856,0,0,0,1090.8492,1260.4916,1029.91,0,0,0,TRUE
12039,419.258865,0.25886500000001433,5.3298693,0,0,0,48157.55,53274.406,48097.23,0,0,0,TRUE
12041,597.2121599,0.21215989999996054,5.329864,0,0,0,9062.205,10358.98,9293.816,0,0,0,TRUE
12049,499.2154578,0.21545780000002424,5.3339114,0,0,0,4005.811,4637.6113,4209.8213,0,0,0,TRUE
12065,435.2539904,0.2539904000000206,5.341984,0,0,0,12127.408,14054.929,12265.962,0,0,0,TRUE
