id,rt,mz
pos_8244,6.779,472.30664
pos_8245,7.072,472.30667
pos_8249,6.52,472.30701
pos_825,1.057,144.06587
pos_826,2.255,144.08102
pos_8276,2.259,474.26065
pos_8266,3.727,473.29102
pos_8325,6.776,477.26163
pos_8326,6.666,477.26181
pos_8329,6.473,477.26205
pos_8330,6.973,477.26227
pos_8440,6.035,486.28613
pos_8441,4.722,486.28616
pos_8447,6.656,486.32202
pos_8448,6.122,486.3226
pos_8462,4.722,487.26785
pos_8480,4.851,488.30151
pos_8482,5.437,488.30157
pos_8580,5.447,493.25705
pos_8483,5.574,488.30161
pos_8484,5.775,488.3017
pos_8486,4.983,488.30185
pos_8758,4.496,506.31253
pos_8502,4.494,489.28555
pos_8515,2.92,490.19296
pos_8516,2.846,490.22949
pos_8537,5.221,491.24146
pos_8538,6.969,491.24149
pos_8552,4.35,492.17776
pos_8569,6.774,493.23563
pos_8571,6.828,493.23599
pos_8572,6.971,493.23602
pos_8575,4.888,493.25647
pos_8578,5.572,493.25674
pos_8579,5.775,493.25699
pos_8600,6.301,495.27521
pos_8613,7.648,496.341
pos_8624,4.86,497.2001
pos_8628,7.559,497.29099
pos_864,0.418,146.02997
pos_866,2.074,146.0603
pos_867,3.563,146.06047
pos_869,1.086,146.08148
pos_8697,5.773,502.31689
pos_8699,5.57,502.31714
pos_8719,5.215,504.29633
pos_8720,4.192,504.29642
pos_8722,4.915,504.29672
pos_8723,5.708,504.29675
pos_8724,4.542,504.29678
pos_873,0.57,146.09264
pos_874,1.793,146.11809
pos_8777,4.35,507.2366
pos_8808,4.759,509.22769
pos_8813,5.574,509.23102
pos_8814,5.775,509.23108
pos_8818,5.21,509.25244
pos_8819,4.544,509.2525
pos_8821,4.451,509.25305
pos_8822,4.718,509.25333
pos_8824,5.706,509.25458
pos_8873,6.361,513.28613
pos_8875,6.303,513.28619
pos_8910,5.964,516.33276
pos_8911,5.264,516.33289
pos_8918,5.328,517.22668
pos_8920,4.762,517.22693
pos_8927,6.842,518.32556
pos_8931,3.128,519.19873
pos_8936,7.216,519.27289
pos_894,0.458,147.11295
pos_8958,5.687,521.25836
pos_9010,4.72,525.22614
pos_9038,4.494,527.24207
pos_9138,6.303,535.26788
pos_9069,6.301,530.31262
pos_9070,6.363,530.31274
pos_9077,3.733,531.20599
pos_9090,11.488,531.40936
pos_9099,7.437,532.34961
pos_9106,4.86,533.21924
pos_9109,4.054,533.2215
pos_9135,4.612,535.23737
pos_9136,4.554,535.23743
pos_9140,10.587,535.271
pos_9141,3.104,535.27618
pos_9167,7.437,537.30493
pos_9305,4.05,551.23151
pos_9496,4.048,568.25977
pos_9727,4.716,591.22534
pos_9306,4.718,551.23187
pos_9308,6.123,551.23206
pos_9494,4.983,568.2594
pos_9309,4.983,551.23212
pos_9313,5.124,551.26843
pos_9325,4.554,552.26361
pos_9338,4.648,553.24786
pos_9339,4.762,553.24817
pos_9369,5.642,556.29572
pos_9425,5.264,561.24457
pos_9481,3.781,567.22754
pos_9641,3.781,584.25415
pos_9647,4.653,584.25476
pos_9484,4.655,567.22821
pos_9493,6.123,568.25934
pos_9509,3.539,569.24347
pos_9516,5.793,570.27496
pos_9517,5.202,570.27502
pos_9519,4.648,570.27582
pos_9546,3.132,573.20697
pos_9553,2.53,574.27246
pos_9554,2.586,574.27252
pos_9568,5.326,575.23059
pos_961,0.423,151.03542
pos_9626,2.213,582.24084
pos_9627,2.267,582.24084
