Pathway,Mummichog_Pvals,GSEA_Pvals,Combined_Pvals,Run,N_features
Purine metabolism,0.05561,0.02439,0.01031,110,1927
Vitamin B9 (folate) metabolism,0.00931,0.7797,0.043,110,1927
Purine metabolism,0.4158,0.1045,0.1797,111,1927
Vitamin B9 (folate) metabolism,0.2305,0.2444,0.2184,111,1927
Purine metabolism,0.1356,0.1154,0.08068,112,1927
Vitamin B9 (folate) metabolism,0.09252,0.8605,0.2811,112,1927
Purine metabolism,0.1826,0.03659,0.04015,113,1927
Vitamin B9 (folate) metabolism,0.1963,0.4915,0.3221,113,1927
Purine metabolism,0.4876,0.08824,0.1784,114,1927
Vitamin B9 (folate) metabolism,0.2332,0.6415,0.4338,114,1927
Purine metabolism,0.08395,0.06944,0.03582,115,1927
Vitamin B9 (folate) metabolism,0.06174,0.1667,0.05739,115,1927
Purine metabolism,0.0535,0.05556,0.02027,116,1927
Vitamin B9 (folate) metabolism,0.05433,0.5455,0.1339,116,1927
Purine metabolism,0.2772,0.03448,0.05401,117,1927
Vitamin B9 (folate) metabolism,0.3247,0.9016,0.6523,117,1927
Purine metabolism,0.3241,0.01449,0.02987,118,1927
Vitamin B9 (folate) metabolism,0.09298,0.7255,0.2493,118,1927
Purine metabolism,0.188,0.01149,0.01542,119,1927
Vitamin B9 (folate) metabolism,0.01705,0.6071,0.05767,119,1927
Purine metabolism,0.4338,0.0122,0.03303,120,1927
Vitamin B9 (folate) metabolism,0.1345,0.549,0.2662,120,1927
Purine metabolism,0.03264,0.01163,0.00337,121,1927
Vitamin B9 (folate) metabolism,0.00992,0.2623,0.01809,121,1927
Purine metabolism,0.05275,0.02273,0.00926,122,1927
Vitamin B9 (folate) metabolism,0.1337,0.5676,0.2716,122,1927
Purine metabolism,0.08862,0.01235,0.00856,123,1927
Vitamin B9 (folate) metabolism,0.1517,0.75,0.361,123,1927
Purine metabolism,0.05683,0.01299,0.00606,124,1927
Vitamin B9 (folate) metabolism,0.07173,0.8966,0.2408,124,1927
Purine metabolism,0.6129,0.1034,0.2382,125,1927
Vitamin B9 (folate) metabolism,0.04102,0.4038,0.08448,125,1927
Purine metabolism,0.1877,0.02326,0.02809,126,1927
Vitamin B9 (folate) metabolism,0.04031,0.35,0.07423,126,1927
Purine metabolism,0.02,0.0122,0.00227,127,1927
Vitamin B9 (folate) metabolism,0.2388,0.88,0.538,127,1927
Purine metabolism,0.2804,0.07812,0.1056,128,1927
Vitamin B9 (folate) metabolism,0.3146,0.8393,0.6157,128,1927
Purine metabolism,0.469,0.02899,0.07203,129,1927
Vitamin B9 (folate) metabolism,0.03698,0.4746,0.0885,129,1927
Purine metabolism,0.2848,0.03947,0.0617,130,1927
Vitamin B9 (folate) metabolism,0.0289,0.6296,0.0911,130,1927
Purine metabolism,0.1033,0.01205,0.00957,131,1927
Vitamin B9 (folate) metabolism,0.1256,0.9318,0.3682,131,1927
Purine metabolism,0.22,0.0125,0.01896,132,1927
Vitamin B9 (folate) metabolism,0.1467,0.5102,0.2689,132,1927
Purine metabolism,0.7415,0.01538,0.06242,133,1927
Vitamin B9 (folate) metabolism,0.5646,0.94,0.8669,133,1927
Purine metabolism,0.5574,0.01333,0.04386,134,1927
Vitamin B9 (folate) metabolism,0.03284,0.7447,0.1152,134,1927
Purine metabolism,0.07198,0.01587,0.00888,135,1927
Vitamin B9 (folate) metabolism,0.01125,0.3704,0.027,135,1927
Purine metabolism,0.1998,0.07692,0.07955,136,1927
Vitamin B9 (folate) metabolism,0.07244,0.6047,0.1808,136,1927
Purine metabolism,0.1482,0.2,0.1339,137,1927
Vitamin B9 (folate) metabolism,0.03778,0.7903,0.1347,137,1927
Purine metabolism,0.5915,0.08108,0.1936,138,1927
Vitamin B9 (folate) metabolism,0.05968,0.4754,0.1294,138,1927
Purine metabolism,0.531,0.8448,0.8082,139,1927
Vitamin B9 (folate) metabolism,0.1748,0.9259,0.4566,139,1927
Purine metabolism,0.08327,0.01562,0.00994,140,1927
Vitamin B9 (folate) metabolism,0.04357,0.8302,0.1562,140,1927
Purine metabolism,0.1948,0.03226,0.03814,141,1927
Vitamin B9 (folate) metabolism,0.05248,0.8261,0.1794,141,1927
Purine metabolism,0.268,0.1373,0.1583,142,1927
Vitamin B9 (folate) metabolism,0.08365,0.8163,0.2516,142,1927
Purine metabolism,0.4403,0.07353,0.1434,143,1927
Vitamin B9 (folate) metabolism,0.195,0.8333,0.4577,143,1927
Purine metabolism,0.1468,0.03659,0.03345,144,1927
Vitamin B9 (folate) metabolism,0.2782,0.8679,0.5846,144,1927
Purine metabolism,0.4117,0.04545,0.09316,145,1927
Vitamin B9 (folate) metabolism,0.1307,0.5833,0.2725,145,1927
Purine metabolism,0.467,0.01587,0.04376,146,1927
Vitamin B9 (folate) metabolism,0.1402,0.75,0.342,146,1927
Purine metabolism,0.1974,0.0641,0.06795,147,1927
Vitamin B9 (folate) metabolism,0.03297,0.587,0.09571,147,1927
Purine metabolism,0.05117,0.01266,0.0054,148,1927
Vitamin B9 (folate) metabolism,0.09539,0.7619,0.2632,148,1927
Purine metabolism,0.2892,0.3382,0.3252,149,1927
Vitamin B9 (folate) metabolism,0.1409,0.7069,0.3293,149,1927
Purine metabolism,0.4756,0.01887,0.05128,150,1927
Vitamin B9 (folate) metabolism,0.3285,0.4884,0.454,150,1927
Purine metabolism,0.03216,0.04225,0.01033,151,1927
Vitamin B9 (folate) metabolism,0.4826,0.4545,0.5521,151,1927
Purine metabolism,0.1283,0.03509,0.02883,152,1927
Vitamin B9 (folate) metabolism,0.0988,0.7209,0.2594,152,1927
Purine metabolism,0.6355,0.1081,0.2527,153,1927
Vitamin B9 (folate) metabolism,0.4392,0.5574,0.5894,153,1927
Purine metabolism,0.2439,0.03947,0.05433,154,1927
Vitamin B9 (folate) metabolism,0.1972,0.1538,0.1363,154,1927
Purine metabolism,0.4809,0.2115,0.3342,155,1927
Vitamin B9 (folate) metabolism,0.2387,0.9423,0.5606,155,1927
Purine metabolism,0.1877,0.01493,0.01927,156,1927
Vitamin B9 (folate) metabolism,0.1817,0.6984,0.3889,156,1927
Purine metabolism,0.128,0.04938,0.03833,157,1927
Vitamin B9 (folate) metabolism,0.0202,0.6897,0.07347,157,1927
Purine metabolism,0.5826,0.1129,0.2448,158,1927
Vitamin B9 (folate) metabolism,0.3914,0.3913,0.4405,158,1927
Purine metabolism,0.05468,0.02174,0.00919,159,1927
Vitamin B9 (folate) metabolism,0.2087,0.4918,0.3363,159,1927
Purine metabolism,0.02947,0.03175,0.00746,160,1927
Vitamin B9 (folate) metabolism,0.1388,0.6667,0.3128,160,1927
Purine metabolism,0.0454,0.01562,0.00585,161,1927
Vitamin B9 (folate) metabolism,0.02062,0.566,0.0636,161,1927
Purine metabolism,0.06112,0.1163,0.04227,162,1927
Vitamin B9 (folate) metabolism,0.06922,0.8413,0.2238,162,1927
Purine metabolism,0.01348,0.01429,0.00184,163,1927
Vitamin B9 (folate) metabolism,0.1135,0.5082,0.2223,163,1927
Purine metabolism,0.2391,0.01408,0.02254,164,1927
Vitamin B9 (folate) metabolism,0.1259,0.8929,0.3582,164,1927
Purine metabolism,0.4337,0.04167,0.0906,165,1927
Vitamin B9 (folate) metabolism,0.06049,0.5968,0.156,165,1927
Purine metabolism,0.09908,0.01266,0.00963,166,1927
Vitamin B9 (folate) metabolism,0.04605,0.4333,0.09805,166,1927
Purine metabolism,0.09811,0.01235,0.00935,167,1927
Vitamin B9 (folate) metabolism,0.2572,0.4889,0.3864,167,1927
Purine metabolism,0.03703,0.01163,0.00377,168,1927
Vitamin B9 (folate) metabolism,0.3385,0.431,0.4267,168,1927
Purine metabolism,0.1978,0.1207,0.113,169,1927
Vitamin B9 (folate) metabolism,0.08608,0.6724,0.2228,169,1927
Purine metabolism,0.3058,0.0411,0.06758,170,1927
Vitamin B9 (folate) metabolism,0.05606,0.375,0.1022,170,1927
Purine metabolism,0.3156,0.3273,0.3378,171,1927
Vitamin B9 (folate) metabolism,0.165,0.7451,0.3806,171,1927
Purine metabolism,0.3034,0.1273,0.1643,172,1927
Vitamin B9 (folate) metabolism,0.1464,0.52,0.2722,172,1927
Purine metabolism,0.5067,0.2059,0.3402,173,1927
Vitamin B9 (folate) metabolism,0.1376,0.4,0.2147,173,1927
Purine metabolism,0.1269,0.0375,0.03021,174,1927
Vitamin B9 (folate) metabolism,0.04,0.7273,0.132,174,1927
Purine metabolism,0.00953,0.01471,0.00138,175,1927
Vitamin B9 (folate) metabolism,0.03873,0.4524,0.08838,175,1927
Purine metabolism,0.2807,0.05405,0.07871,176,1927
Vitamin B9 (folate) metabolism,0.06247,0.8966,0.2174,176,1927
Purine metabolism,0.1298,0.1447,0.09347,177,1927
