feature,mzmed,rtmed,NEG_1_QC_pool_n1.mzXML,NEG_2_WT_b1_t1.mzXML,NEG_3_PM-31_b1_t1.mzXML,NEG_4_PM-37_b1_t1.mzXML,NEG_5_KO-6_b1_t1.mzXML,NEG_6_KO-22_b1_t1.mzXML,NEG_7_QC_pool_n2.mzXML,NEG_8_WT_b2_t1.mzXML,NEG_9_PM-31_b2_t1.mzXML,NEG_10_PM-37_b2_t1.mzXML,NEG_11_KO-6_b2_t1.mzXML,NEG_12_KO-22_b2_t1.mzXML,NEG_13_QC_pool_n3.mzXML,NEG_14_WT_b3_t1.mzXML,NEG_15_PM-31_b3_t1.mzXML,NEG_16_PM-37_b3_t1.mzXML,NEG_17_KO-6_b3_t1.mzXML,NEG_18_KO-22_b3_t1.mzXML,NEG_19_QC_pool_n4.mzXML,NEG_20_WT_b1_t2.mzXML,NEG_21_PM-31_b1_t2.mzXML,NEG_22_PM-37_b1_t2.mzXML,NEG_23_KO-6_b1_t2.mzXML,NEG_24_KO-22_b1_t2.mzXML,NEG_25_QC_pool_n5.mzXML,NEG_26_WT_b2_t2.mzXML,NEG_27_PM-31_b2_t2.mzXML,NEG_28_PM-37_b2_t2.mzXML,NEG_29_KO-6_b2_t2.mzXML,NEG_30_KO-22_b2_t2.mzXML,NEG_31_QC_pool_n6.mzXML,NEG_32_WT_b3_t2.mzXML,NEG_33_PM-31_b3_t2.mzXML,NEG_34_PM-37_b3_t2.mzXML,NEG_35_KO-6_b3_t2.mzXML,NEG_36_KO-22_b3_t2.mzXML,NEG_37_QC_pool_n7.mzXML
FT0032,83.0137732848432,440.126342773438, 84648.83, 19452.41, 31702.67, 72817.46,233619.55, 43186.78, 85894.49, 31823.37, 31597.25, 77714.13,228714.07, 37711.01, 55465.78, 20581.95, 23006.73, 72392.93,172565.69, 33268.50, 71774.08, 15618.84, 21314.58, 65365.06,221574.26, 35170.15, 78649.65, 18085.95, 24561.37, 56350.37,201620.37, 36835.06, 87228.82, 20087.43, 32613.15, 53103.73,190134.88, 30098.08, 69647.34
FT0033,84.0454765349806,304.133010864258,290886.8,301772.8,257854.2,370718.8,184708.9,218551.7,280685.9,292687.3,238553.3,344737.1,178570.0,206345.8,270557.7,291508.6,230679.4,363832.0,165718.1,204522.0,267413.7,277836.7,248075.8,370116.9,193456.4,217088.6,260582.0,268775.6,234398.1,349749.9,161036.0,233017.3,271770.7,311424.6,242340.1,348858.6,161057.5,224464.4,280176.3
FT0034,84.045395004787,517.687438964844,198343.4,154780.6,168826.1,156867.3,251375.6,167463.4,153391.2,191994.6,168834.3,145793.0,251972.4,182266.9,135642.9,213904.4,165521.5,164876.1,259490.2,146226.6,178382.8,196526.7,164643.0,157925.9,250849.0,147506.3,189262.8,204230.7,144555.3,156805.6,266906.2,178114.6,204584.9,240897.8,167943.5,141785.6,260929.8,159020.0,178945.7
FT0035,84.0454448415634,434.188018798828, 49001.265,  3345.264,  2917.619, 59246.635,323085.739, 15524.802, 43848.096,  3676.163,NA, 13209.269,306075.505, 13914.815, 49095.355,  6155.557,NA, 73236.182,221525.665,  7208.928, 38468.177,NA,  3169.018, 53097.484,293128.992, 10156.811, 27682.895,  1523.155,  1381.153,  9529.253,294219.690,  6406.376, 29012.072,NA,NA,  7290.371,215563.383, 14401.416, 37121.162
FT0036,84.951198491809,207.465560913086, 592679.2, 501934.2, 581864.6, 449738.3, 420053.0,1051775.3, 550739.1, 777441.6, 460099.8, 418625.8, 526654.0, 586109.4, 590768.3, 518454.2, 583789.9, 426687.3, 490899.9, 871023.4, 599835.5, 488372.9, 601709.9, 451881.4, 456245.8,1079028.0,1282911.8, 854575.7, 444088.0, 402464.5, 553255.2, 602767.1, 575365.8, 520656.1, 569073.1, 453415.8, 515785.7, 931691.3, 607605.4
FT0037,85.02947456768,89.0948028564453,4960314,4306644,4925334,3393780,4043091,4375576,4737861,5018706,3954127,2648016,4620053,5475406,4869246,5263529,3808659,3160453,4856932,4800838,4482692,4066452,4654100,3477154,4138990,4441588,4570207,5046757,3860637,2613266,4701992,5686330,4873725,5275181,3783163,3029313,4869059,4851341,4646228
FT0038,85.0295132877978,651.197875976562,475714.35,224571.51,194206.76,836756.17,267193.78,236114.83,440880.87,247443.01,225668.10,754360.05,252401.21,200362.71,433512.69,210822.77,236790.74,754622.60,163805.35,127076.27,400037.12,196102.52,114003.02,936659.48,264978.93,222739.22,401917.58,202113.15,202087.87,766433.18,282413.82,236690.17,417228.36,151722.07, 79662.87,713018.90, 55674.50,138870.92,438631.43
FT0039,85.0295072153411,440.290222167969,374798.8,267158.9,329136.5,344488.2,761901.0,357881.7,436441.5,266588.8,256452.4,346080.7,736507.2,356271.2,372561.3,290538.8,688330.3,297729.1,653712.6,312293.4,410814.9,256274.4,242180.7,428334.1,721799.1,327493.5,260203.8,253992.1,319777.2,373209.3,739869.9,261986.3,154050.2,214750.6,271395.5,162766.9,629496.2,270037.3,466136.6
FT0040,86.0327956721735,89.0951995849609,203762.87,181374.22,183726.93,114504.45,169702.28,192543.82,123910.69,192372.27,142708.82, 87947.70,164583.25,235684.44,152627.82,203673.12,155167.09,115856.31,185995.66,219440.14,166695.62,136127.43,197533.84,121536.77,162071.64,171623.80,166698.57,195212.32,142439.02, 89898.74,163395.96,229435.74,138992.46,216807.56,125798.16,111237.14,186972.49,167553.73,111672.30
FT0041,87.0088147836825,189.380729675293,1813406.9,1211732.6,1099260.6,1589925.4,2386957.8,1485382.0,1696130.7,1687549.7,1047510.9,1837737.9,2345364.3,1545728.8,1730436.5,1933315.5,1443318.6,1739903.9,3456072.7, 991259.5,1685768.8,1112882.5,1023161.9,1517215.6,2258948.4,1423142.3,1683953.1,1646783.9, 988319.3,1710219.1,2152754.6,1525535.3,1643199.0,1878437.6,1332531.4,1652200.6,3389823.7, 987985.2,1696450.9
