m.z	p.value	t.score	rt
146.04589000000001	3.84269821064986e-6	13.9589823729442	519
361.068	3.84269821064986e-6	-30.7801195102784	351.6
132.08607	3.89662811231177e-6	11.722748622111	845.4
294.05004	3.89672870714968e-6	18.9709692366981	555.6
382.10055	3.89672870714968e-6	25.9387260613357	531
174.1078	3.95904240504463e-6	14.0651499952054	845.4
168.02778	3.96840088967955e-6	17.1417881063607	519
371.00871	3.98639915276503e-6	11.8291129335606	229.8
131.08269	3.99514625477033e-6	13.5151695593854	845.4
170.97713	3.99514625477033e-6	-19.1988291877035	625.8
204.08593	3.99514625477033e-6	-12.5080828428639	333.6
218.10349	3.99514625477033e-6	-17.6961545711151	199.2
417.02203	3.99514625477033e-6	17.0347393372935	609
387.16529	4.15008044242358e-6	-28.7492645980534	480
184.07883	4.19578360365898e-6	20.5279751909216	440.4
271.00426	4.19578360365898e-6	20.5539745460448	489.6
425.13655	4.19578360365898e-6	-22.0545759172484	534.6
427.02606	4.19578360365898e-6	-11.8015465315555	564
393.0809	4.27788219623336e-6	25.2586808975276	453.6
223.93275	4.29707892104842e-6	11.4239579243354	486.6
354.07251	4.35763220924005e-6	-30.4816619843681	478.8
141.01526	4.47083264628697e-6	-20.7210894693157	569.4
231.02362	4.53834556953959e-6	-16.3230305683684	304.2
227.96074	4.56709092317826e-6	-12.9631113537513	274.8
468.12912	4.65827569856586e-6	27.7255446898872	529.2
507.07166	4.83785715800241e-6	-12.0603041211966	409.2
387.15384	4.84713843152802e-6	-24.1024360444066	477.6
339.08589	4.84824778415095e-6	-29.4808989412659	350.4
213.01305	4.86260543789764e-6	-12.1376436789895	274.8
142.05094	4.96535779930196e-6	-21.5144401464693	532.2
393.16332	4.99264681068601e-6	13.7885926198467	441
423.06499	4.99264681068601e-6	-26.8040000798359	239.4
441.0522	4.99884693342903e-6	12.7259021911311	441
228.05302	5.11997808817388e-6	-26.636823244155998	482.4
134.03442	5.15734311256926e-6	-12.1656217633001	534.6
853.57936	5.87224116010644e-6	-11.0239999398987	88.2
284.04155	6.00593700349683e-6	-11.7412765376369	741
338.05955	6.13138375269319e-6	29.7004893601112	551.4
257.09903	6.20608024511469e-6	-22.8657343850043	481.2
437.21437	6.22509867445423e-6	-21.8489339050735	199.2
386.13207	6.50408814477773e-6	26.2289214405259	277.8
373.14116	6.52891853949353e-6	11.2320462044311	441
174.10189	6.53422003334398e-6	14.413387004134	846.6
295.98403	6.53422003334398e-6	-11.161358070699	410.4
454.08812	6.53422003334398e-6	10.8122474988846	231
92.02549	6.57947964029879e-6	-11.2985475628469	245.4
143.04632	6.57947964029879e-6	17.6864106196651	363
283.06864	6.69634523500124e-6	19.1266231657716	403.2
309.50677	6.75418276758748e-6	-11.2759936465925	617.4
103.0594	6.93773539296578e-6	11.4144137594185	519
180.05945	6.99238060265278e-6	13.7586246773126	577.8
804.57572	7.18636504885853e-6	-15.0362729670724	90.6
328.93728	7.20160032945468e-6	22.8152526502149	556.2
407.11481	7.20160032945468e-6	16.1639658296215	441
391.18033	7.29225955653719e-6	16.1449713047007	846
288.10921	7.33091625958556e-6	10.7021879589833	210
104.03534	7.50173696440574e-6	24.096244025455	533.4
407.10238	7.81904307193358e-6	12.0012445369722	441
205.03542	8.03533593938433e-6	-11.4506613164557	639.6
279.06	8.05838590859737e-6	-16.0853746592218	274.8
309.10242	8.05838590859737e-6	14.1857118032418	459.6
496.98878	8.05838590859737e-6	25.8949486534165	661.2
543.35016	8.39541987888651e-6	-15.0624318401059	96.6
370.14037	8.56623399651127e-6	10.4602389862958	441
866.55515	8.56623399651127e-6	12.666529185383	85.8
313.05124	8.73898582858527e-6	12.0446155458346	488.4
371.13661	8.82904000245489e-6	10.3800503226624	441
235.0726	9.23988463795117e-6	-15.5476367013583	279
285.9639	9.57113650944256e-6	-10.281449292056	303
312.01154	9.57113650944256e-6	-10.4546164731583	457.8
164.07193	9.7191553278044e-6	-10.7745244132057	250.8
252.00934	1.02737767194123e-5	-24.5931339043717	353.4
273.99249	1.02892070204725e-5	-10.4482562508219	304.2
169.98473	1.03438795815801e-5	-14.8462708649796	625.8
228.06433	1.05111220010321e-5	-25.1684342924093	476.4
192.03379	1.05790883718934e-5	-18.9013188493699	179.4
258.09982	1.13196966375016e-5	-21.9275922132223	481.2
152.01179	1.14847884565786e-5	-24.0154287849528	529.2
353.94272	1.14847884565786e-5	-10.1597977059521	409.2
179.05609	1.15968968803526e-5	16.5928893496614	577.8
316.0842	1.17492191674361e-5	10.1519393176727	520.2
116.07174	1.18701887931651e-5	-18.9527865376789	531
267.07238	1.18701887931651e-5	-16.115440491352	525.6
319.04371	1.19888822966086e-5	-18.0349708972088	603
299.12261	1.20201198842462e-5	-10.8027495278002	304.2
341.14998	1.20201198842462e-5	10.1126828816357	477.6
489.14273	1.20201198842462e-5	-12.0742039336791	526.8
141.0193	1.2037398528643e-5	11.1637521697424	577.8
338.989	1.2037398528643e-5	22.9962023918092	673.8
363.15112	1.2037398528643e-5	17.1748785033428	441
313.00447	1.20945784909753e-5	11.8611207889574	367.2
364.09227	1.21393848938337e-5	10.9391928575873	486.6
497.14382	1.23596366901883e-5	-20.1155605804012	252.6
666.45059	1.24320964575692e-5	15.557570862835	84
147.04527	1.25045636298007e-5	-11.2910515957367	250.8
347.12291	1.25126048201863e-5	-22.6586309937862	246.6
146.08237	1.25128851010185e-5	-17.9666028600253	199.2
173.10449	1.2538231135866e-5	12.7799430383329	845.4
287.03942	1.2538231135866e-5	12.2886335073093	814.8
287.05946	1.2538231135866e-5	-22.1978514292171	250.8
162.02318	1.25474591929806e-5	20.2167672098685	435.6
176.0447	1.26140400666956e-5	-10.369517890453	532.2
342.04443	1.28592874454798e-5	-10.4399564704735	741
526.12177	1.29606706060615e-5	-10.6149531891315	246.6
228.93194	1.32850404999195e-5	-10.1820380063856	457.8
204.05695	1.33823961788244e-5	16.0898548217406	441
142.01607	1.33899718868058e-5	-13.383436797888	569.4
201.12457	1.34432993752823e-5	14.4691242350365	367.2
206.95834	1.34432993752823e-5	-13.1741936469623	536.4
238.02546	1.34432993752823e-5	-9.82792510762295	410.4
505.98878	1.34432993752823e-5	-10.0090008256612	613.2
894.58637	1.34432993752823e-5	9.99968000044119	87.6
454.11162	1.35120156919647e-5	-16.9321055734847	169.8
471.07849	1.36936560886523e-5	24.8015687881936	617.4
295.26422	1.4108186696352e-5	12.3694200880501	83.4
867.55832	1.42722121424532e-5	12.2149908303614	86.4
231.0275	1.43912491593167e-5	-9.7224151767455	570.6
506.99213	1.43912491593167e-5	-9.77494188843151	613.2
423.15739	1.44954599226141e-5	-19.5561502316588	480
208.95159	1.46653363568778e-5	-18.0380969333034	246.6
114.08887	1.46863003166466e-5	-12.3337753717004	387
161.04562	1.52049895552952e-5	13.3907479495536	577.8
335.08982	1.52049895552952e-5	-10.2327441289354	304.2
128.03541	1.59566908622648e-5	-14.2901859983618	274.8
119.05029	1.6116069821136e-5	-10.7919884871642	410.4
507.99327	1.6116069821136e-5	-9.73073936855448	613.2
135.05065	1.63292177526481e-5	9.59558331378163	166.2
203.05377	1.64942391259614e-5	15.6037348821886	441
