"feature","mzmed","rtmed","NEG_1_QC_pool_n1.mzXML","NEG_2_WT_b1_t1.mzXML","NEG_3_PM-31_b1_t1.mzXML","NEG_4_PM-37_b1_t1.mzXML","NEG_5_KO-6_b1_t1.mzXML","NEG_6_KO-22_b1_t1.mzXML","NEG_7_QC_pool_n2.mzXML","NEG_8_WT_b2_t1.mzXML","NEG_9_PM-31_b2_t1.mzXML","NEG_10_PM-37_b2_t1.mzXML","NEG_11_KO-6_b2_t1.mzXML","NEG_12_KO-22_b2_t1.mzXML","NEG_13_QC_pool_n3.mzXML","NEG_14_WT_b3_t1.mzXML","NEG_15_PM-31_b3_t1.mzXML","NEG_16_PM-37_b3_t1.mzXML","NEG_17_KO-6_b3_t1.mzXML","NEG_18_KO-22_b3_t1.mzXML","NEG_19_QC_pool_n4.mzXML","NEG_20_WT_b1_t2.mzXML","NEG_21_PM-31_b1_t2.mzXML","NEG_22_PM-37_b1_t2.mzXML","NEG_23_KO-6_b1_t2.mzXML","NEG_24_KO-22_b1_t2.mzXML","NEG_25_QC_pool_n5.mzXML","NEG_26_WT_b2_t2.mzXML","NEG_27_PM-31_b2_t2.mzXML","NEG_28_PM-37_b2_t2.mzXML","NEG_29_KO-6_b2_t2.mzXML","NEG_30_KO-22_b2_t2.mzXML","NEG_31_QC_pool_n6.mzXML","NEG_32_WT_b3_t2.mzXML","NEG_33_PM-31_b3_t2.mzXML","NEG_34_PM-37_b3_t2.mzXML","NEG_35_KO-6_b3_t2.mzXML","NEG_36_KO-22_b3_t2.mzXML","NEG_37_QC_pool_n7.mzXML"
"FT0083",97.0294898933454,440.290222167969,128204.47,55306.3,55150.25,117839.01,285255.72,83980.66,118733.3,45318.04,52264.15,101414.32,297900.01,65105.44,103656.23,46201.29,43267.66,87281.87,229603.29,74843.97,117551.2,36485.61,64824.98,78707.61,280502.47,75975.16,100179.69,35953.21,52688.08,93933.74,268782.38,66306.3,125402.16,53440.37,47595.26,91199.83,219689.32,61288.23,127793.3
"FT0086",97.9838553632561,990.42138671875,457963.4,393283.1,456299.9,423794.7,450799.3,441066.4,447614.3,449517.9,502583.8,452133,460805.4,416893.7,468163.7,437783,463317.1,462559.3,420703,405562.9,432727,403630.6,425963,442200.9,437458.4,422930.5,437039.3,424986.6,471265.8,498621.8,423283.1,447396.1,439627.3,441819.7,450253.4,421931.7,455477.5,425418.2,440543
"FT0087",98.0248006745532,302.809310913086,1354065.9,1104923.9,1175848.8,1635541.2,802498.7,1092004.4,1233110.6,1192755.3,871587.2,1555209.4,1034879.2,1092267.2,1271167.1,819501.6,1132264.4,1504462.5,813541.3,725212.7,715411.9,1229604.7,1004505.4,1451236.3,427473.2,766482.2,1233625.3,1172232,1106598.3,1409198.8,574644.3,374621.2,1115866.4,1162402.7,1002121.4,1441295.7,291949.3,445328.7,1192590.8
"FT0088",98.0328265140068,89.1649780273438,106553.21,137591.55,146123.51,105621.41,112816.76,154082.37,114259.85,141389.49,121685.52,50853.74,125130.33,168930.11,130172.66,167271.06,107929.65,75999.58,104787.26,150445.46,120448.15,130124.99,155808.61,118241.9,109383.6,121005.36,84990.97,166012.59,102593.61,61042.61,155122.53,161738.79,82586.14,170051.51,116455.4,84217.08,132809.08,152512.34,84993.47
"FT0089",98.9491523519396,1207.77977050781,39172768,39306962,38661107,37420304,38997225,37371819,37106281,39134543,38717077,38686602,39185441,38481813,39336497,39400383,39753374,39341327,38870967,38878996,39428089,40099412,39686476,39019946,39150180,39617205,40366346,39551735,39680929,40341001,40384062,39927591,39036587,39992987,40295085,40438670,40180478,39239843,39830596
"FT0090",98.9559280989203,651.185668945312,3382135,2620367,2951451,3149814,3349441,3337419,3345885,2867336,2973210,3361537,3539636,3056685,2883433,2675051,2878442,3293108,4253527,3357371,3178363,2394536,2936526,3183388,3473423,3347202,3047785,2806997,2976242,3363864,3334764,3133425,3011077,2724706,2908411,3079266,4506558,3463363,3218733
"FT0091",98.9558783035593,584.73828125,1446156.5,1327761.8,1487918.8,1243939,1625614.8,1491265.3,1407117.4,1400862.7,1544796.8,1357197.4,1701705.9,1400772.9,1384776.9,1351215.5,1438802.7,1339049.7,1611386.3,1570130.3,1455775.1,1395744,1503656,1391041.2,1569242,1528380.7,1524612.8,1500972.5,1566534.9,1384349.7,1708942.5,1633439.3,1543191.9,1513078.4,1557161,1341168.8,971110.2,1721252.2,1498749
"FT0093",98.9669092195396,411.799,883304.9,653376.2,768838.2,607392.4,835569.3,1013709.4,834904,827859.5,788444.5,769953.2,918104.6,990013.3,868443.7,801595.2,731963.6,635560.2,1443003.1,1010915.7,821895.7,612578.1,704158.3,649383.5,825438.6,959712.8,816073.1,777357,757790.7,716548.7,850872.6,925219.2,808693.8,784808.4,676351.5,615713.2,1300030.6,975201.9,793494.4
"FT0095",98.9739334706131,410.419311523438,65010.7,62093.31,73442.4,58950.47,64733.17,84861.99,90920.49,73648.36,65931.83,70310.78,51361.41,84189.08,79288.49,83065.77,75416.58,66388.87,84745.54,107135.4,80164.44,65882.33,65217.02,63194.87,76352.94,92060.18,80503.32,75163.98,68150.48,73959.04,71517.59,91652.73,90482.99,68899.04,68355.43,61300.09,89245.36,105317.53,87835.99
"FT0096",99.0087285317399,577.680419921875,234072.8,258395.4,223978.2,410376.1,327179.7,235887.2,251049.5,244656,216752.5,435943.7,342811.7,235350.9,195099.8,191146,165770.7,356629.8,264046.5,133522.4,212263.3,240587.9,172075.6,401452.9,331460.1,270309,236755.1,242932,147138.3,447433.8,335310.6,211522.5,185885.7,179876.6,176108.2,354074.7,287984.2,198533.9,196733.8
