m.z	p.value	t.score	rt
115.00369	6.24608090669161e-5	-9.69123842714925	534.6
489.15833	6.24608090669161e-5	8.08456286744711	845.4
314.90557	6.28506043208464e-5	8.33848780852781	586.2
401.01584	6.29026465892146e-5	-8.01734373915598	540
203.06748	6.58075045704706e-5	-11.1319955626864	316.8
565.04775	6.58075045704706e-5	-9.73091426988553	600.6
341.13895	6.83833847275216e-5	-8.84153659136022	473.4
293.06357	6.90520259369982e-5	8.69580724437408	845.4
187.03793	6.95924054864299e-5	-11.2099759087924	390.6
461.01312	6.95924054864299e-5	8.22910402765899	662.4
518.08549	7.01767055094073e-5	16.7327192985902	510
830.58808	7.05964613469091e-5	-14.7729962442854	90.6
106.98088	7.40103132217163e-5	8.792412924899	488.4
164.00007	7.49343178394738e-5	10.0186054468312	489.6
489.99375	7.70872149356717e-5	-8.73778284153731	583.2
499.37981	7.70872149356717e-5	7.87341916062338	79.2
143.04632	7.97989085422195e-5	10.9839503462562	301.2
114.02334	8.04987578474935e-5	-9.77929433428796	387
485.03177	8.05215903060652e-5	10.4527112112057	439.8
174.04073	8.33791290358621e-5	-7.98698591327923	532.2
313.97402	8.36412358983162e-5	-9.86265369119103	536.4
298.04633	8.39907883318392e-5	-14.813640771656	625.8
773.53435	8.39907883318392e-5	-15.8434990234028	78
285.04955	8.44338631677493e-5	15.2197978530455	598.8
609.08826	8.53046283447896e-5	-15.1735667267717	622.8
357.13262	8.77720069478501e-5	-7.85772128001178	303
395.25688	9.02427823816677e-5	-13.6913048926805	164.4
272.00844	9.09475885930105e-5	11.6133211336004	486.6
778.56036	9.31807495650655e-5	-13.5387809769133	153.6
239.03056	9.49124384346232e-5	7.58517887976876	434.4
132.03024	9.57200185133982e-5	-9.9126956834192	534.6
490.14802	9.78346914646744e-5	-9.69375329982704	274.8
298.07001	9.79750808246265e-5	11.7504729759422	559.2
310.93476	9.95374955876826e-5	-7.58595967698445	410.4
150.03961	1.00648138911584e-4	-7.58528740702346	326.4
300.08147	1.01265093006883e-4	-8.22130267116304	519
386.01622	1.01801396918087e-4	-12.9208481692931	597
297.07053	1.032167180212e-4	-12.6616620260993	283.2
339.12331	1.05056900954038e-4	-8.35128345076305	274.8
265.05729	1.05520034410047e-4	8.66401655666721	814.8
476.13243	1.06665469802012e-4	7.69588174145566	231.6
196.07274	1.09295681731602e-4	-7.8278105549706	274.8
148.00752	1.10346122999985e-4	-9.60040018046841	208.8
305.037	1.12206067624412e-4	7.4154000838207	231.6
134.98907	1.1366319154939e-4	-14.3959514325223	245.4
493.24762	1.13911970173166e-4	9.22216340894278	441
187.0249	1.17094305964188e-4	-8.00631067823226	634.2
388.15551	1.1798728988246e-4	12.0722636541971	86.4
218.06701	1.18967890237365e-4	11.7829208788811	504.6
260.07784	1.199845398151e-4	14.5802286157762	334.8
108.01251	1.21570017026301e-4	8.28484641393514	496.2
157.01328	1.2711562748184e-4	-13.6042601500178	246.6
214.04864	1.2711562748184e-4	-13.7979310509233	534.6
384.19255	1.27415964343469e-4	11.1657942712157	846
